id,created_at,detected_at,ticker,category,option_type,strike,expiry,premium,confidence,conviction_score,entry_trigger,target,target_near,invalidation,signal_quality,algo_version,reason,is_biddie_pick,outcome,mfe_percent,max_favorable_price,price_at_signal,entry_price,direction,suggested_trade,trade_status,entry_price_reached,invalidation_breached,gamma_zone,gamma_description,review_status,review_note,reviewed_at
8c9c9878-eeb1-4568-bf33-058d5beb955b,2026-04-03 15:13:39.821411+00,2026-04-03 15:13:39.821411+00,MSFT,whale,call,415.00,"April 10, 2026",1053294.00,6.00,60,Whale sweep at $372.41,$379.86,$387.31,Below $364.96,moderate,v2,$1.1M call flow at $415 strike with 100% ask aggression. Price at $372.41.,f,pending,,,372.41,,bullish,,active,f,f,,,,,
9a21a7bf-803c-43ab-876e-45deac4d965b,2026-04-03 13:30:17.021592+00,2026-04-03 00:00:00+00,SPXW,algorithm,call,6700.00,"April 10, 2026",231000.00,7.50,75,VWAP retest from above at $6559.4 — bounce is your entry,$6601.91 (previous swing high),,Below $6559.4 (VWAP break invalidates bullish thesis),,v2,$231K call flow at $6700 strike with 77% ask aggression. Price at $6577.37. Negative gamma zone — moves will be amplified.,f,pending,,,6577.37,,bullish,,watching,f,f,positive,"Above gamma flip ($6475) — long gamma territory, moves suppressed",,,
134e8efd-6b1f-48ec-a641-35c86ce96dcf,2026-04-03 13:30:16.863864+00,2026-04-03 00:00:00+00,SPXW,algorithm,put,6530.00,"April 8, 2026",151980.00,7.00,70,Above VWAP ($6559.4) — needs break below $6559.4 for entry,"$6550.79 (previous swing low), then $6546.31",,Above $6559.4 (VWAP reclaim invalidates bearish thesis),,v2,$152K put flow at $6530 strike with 0% ask aggression. Price at $6569.39. Negative gamma zone — moves will be amplified.,f,pending,,,6569.39,,bearish,,watching,f,f,positive,"Above gamma flip ($6475) — long gamma territory, moves suppressed",,,
82c36611-1f75-4e98-b22a-8c8310c83cc5,2026-04-03 13:30:16.721563+00,2026-04-03 00:00:00+00,SPXW,algorithm,call,6670.00,"April 6, 2026",269380.00,8.50,85,VWAP retest from above at $6559.4 — bounce is your entry,$6601.91 (previous swing high),,Below $6559.4 (VWAP break invalidates bullish thesis),,v2,$269K call flow at $6670 strike with 0% ask aggression. Price at $6582.68. Negative gamma zone — moves will be amplified.,t,pending,,,6582.68,,bullish,,watching,f,f,positive,"Above gamma flip ($6475) — long gamma territory, moves suppressed",,,
caed9539-585c-4433-9456-f24567e9ded7,2026-04-03 13:30:16.621655+00,2026-04-03 00:00:00+00,SPXW,algorithm,call,6720.00,"May 1, 2026",320970.00,8.50,85,VWAP retest from above at $6559.4 — bounce is your entry,$6601.91 (previous swing high),,Below $6559.4 (VWAP break invalidates bullish thesis),,v2,$321K call flow at $6720 strike with 100% ask aggression. Price at $6582.69.,t,pending,,,6582.69,,bullish,,watching,f,f,positive,"Above gamma flip ($6475) — long gamma territory, moves suppressed",,,
f8e950eb-e0a1-412a-b3c7-be2810298763,2026-04-03 13:30:16.322063+00,2026-04-03 00:00:00+00,SPXW,algorithm,call,6600.00,"April 8, 2026",531200.00,8.50,85,VWAP retest from above at $6559.4 — bounce is your entry,$6601.91 (previous swing high),,Below $6559.4 (VWAP break invalidates bullish thesis),,v2,$531K call flow at $6600 strike with 0% ask aggression. Price at $6582.69. Negative gamma zone — moves will be amplified.,t,pending,,,6582.69,,bullish,,watching,f,f,positive,"Near call wall at $6,590 — dealers sell here, strong resistance",,,
9c32705c-a743-49f4-9098-eb9f8fb062ef,2026-04-03 13:30:15.821923+00,2026-04-03 00:00:00+00,SPXW,algorithm,call,6570.00,"April 2, 2026",161170.00,9.00,90,VWAP retest from above at $6559.4 — bounce is your entry,$6601.91 (previous swing high),,Below $6559.4 (VWAP break invalidates bullish thesis),,v2,$161K call flow at $6570 strike with 42% ask aggression. Price at $6579.60. Negative gamma zone — moves will be amplified.,t,pending,,,6579.60,,bullish,,watching,f,f,positive,"Near call wall at $6,590 — dealers sell here, strong resistance",,,
d4febe61-49dc-40ee-bce5-f78a6c687c49,2026-04-03 13:30:15.665417+00,2026-04-03 00:00:00+00,SPXW,algorithm,call,6705.00,"April 9, 2026",221200.00,9.00,90,VWAP retest from above at $6559.4 — bounce is your entry,$6601.91 (previous swing high),,Below $6559.4 (VWAP break invalidates bullish thesis),,v2,$221K call flow at $6705 strike with 27% ask aggression. Price at $6581.98. Negative gamma zone — moves will be amplified.,t,pending,,,6581.98,,bullish,,watching,f,f,positive,"Above gamma flip ($6475) — long gamma territory, moves suppressed",,,
bcd12271-335f-4efa-a57c-2fc90787fe38,2026-04-03 13:30:15.56397+00,2026-04-03 00:00:00+00,SPXW,algorithm,call,6760.00,"May 1, 2026",1846430.00,9.00,90,VWAP retest from above at $6559.4 — bounce is your entry,$6601.91 (previous swing high),,Below $6559.4 (VWAP break invalidates bullish thesis),,v2,$1.8M call flow at $6760 strike with 90% ask aggression. Price at $6582.68.,t,pending,,,6582.68,,bullish,,watching,f,f,positive,"Above gamma flip ($6475) — long gamma territory, moves suppressed",,,
9f297f7e-929a-4017-b3f0-64516d870715,2026-04-03 13:30:15.464303+00,2026-04-03 00:00:00+00,SPXW,algorithm,call,6580.00,"April 10, 2026",4596550.00,9.00,90,VWAP retest from above at $6559.4 — bounce is your entry,$6601.91 (previous swing high),,Below $6559.4 (VWAP break invalidates bullish thesis),,v2,$4.6M call flow at $6580 strike with 0% ask aggression. Price at $6582.69. Negative gamma zone — moves will be amplified.,t,pending,,,6582.69,,bullish,,watching,f,f,positive,"Near call wall at $6,590 — dealers sell here, strong resistance",,,
