Signal Date,Signal Time,Ticker,Category,Call/Put,Bullish/Bearish,Strike,Expiry,Premium,Confidence,Conviction Score,Algo Version,Signal Quality,Biddie Pick,Price at Signal,Entry Trigger,Entry Price,Target,Target Near,Invalidation,Gamma Zone,Gamma Description,Reason,Suggested Trade,Trade Status,Outcome,MFE %,Max Favorable Price,Entry Price Reached,Invalidation Breached,Review Status,Review Note,Reviewed At
03/26/2026,4:47 PM ET,SPXW,algorithm,call,bullish,6450.00,"April 17, 2026",635600.00,6.00,60,v2,,f,,Above $6450,6450,$6579.00,,Below $6321.00,,,$636K premium flow at $6450 calls with 100% ask aggression.,,hit,hit,123.78,6609.67,t,t,,,
03/27/2026,1:29 PM ET,SPX,algorithm,put,bearish,5700.00,"April 17, 2026",644680.00,7.00,70,v2,,f,6398.53,Near $6398.53 (no VWAP data),6398.53,$6270.56,$6078.60,Above $6526.50,,,$645K premium flow at $5700 puts with 100% ask aggression.,,miss,missed,63.78,6316.91,t,t,,,
03/27/2026,7:10 PM ET,SPXW,whale,put,bearish,6600.00,"March 31, 2026",6881917.00,9.00,90,v2,,t,6368.85,Near $6368.85 (no VWAP data),6368.85,$6241.47,$6050.41,Above $6496.23,,,$6.9M premium flow at $6600 puts with 83% ask aggression.,,miss,missed,40.78,6316.91,t,t,,,
03/30/2026,11:18 AM ET,SPX,algorithm,put,bearish,6300.00,"April 2, 2026",376250.00,8.00,80,v2,,f,6393.22,Near $6393.22 (no VWAP data),6393.22,Strike at $6300.00,$6174.00,Above $6521.08,,,$376K put flow at $6300 strike with 100% ask aggression. Price at $6393.22.,,miss,missed,81.86,6316.91,t,t,,,
03/30/2026,11:26 AM ET,SPXW,algorithm,put,bearish,6525.00,"April 2, 2026",867790.00,7.00,70,v2,,f,6387.32,Near $6387.32 (no VWAP data),6387.32,$6259.57,$6131.83,Above $6515.07,,,$868K put flow at $6525 strike with 67% ask aggression. Price at $6387.32.,,miss,missed,55.12,6316.91,t,t,,,
03/30/2026,1:15 PM ET,SPXW,algorithm,put,bearish,6375.00,"April 6, 2026",582580.00,9.00,90,v2,,f,6376.01,"Below VWAP ($6,436) — Near $6,376",64366376,"$6,365 (strike level, short gamma acceleration)",$6247.50,"Above $6,436 (VWAP reclaim invalidates bearish thesis)",,,$583K put flow at $6375 strike with 100% ask aggression. Price at $6376.01. Negative gamma zone — moves will be amplified.,,hit,hit,536.78,6316.91,t,t,,,
03/31/2026,1:57 PM ET,SPXW,algorithm,call,bullish,6500.00,"April 2, 2026",705000.00,6.00,60,v2,moderate,f,6491.53,"Above VWAP ($6,453) — Near $6,492",64536492,"$6,518 (previous swing high), then $6,539",$6630.00,"Below $6,453 (VWAP break invalidates bullish thesis)",,,$705K call flow at $6500 strike with 100% ask aggression. Price at $6491.53.,,hit,hit,446.32,6609.67,f,f,correct,"Entry was perfect, but Target only 9 pts away. Went to 6528. Target should have been previous major swing high at 6517-6528",03/31/2026 9:00 PM ET
03/31/2026,7:27 PM ET,SPXW,algorithm,call,bullish,6530.00,04/04/2026,352570.00,7.00,72,v2,moderate,t,6528.52,"Above VWAP ($6,468) — Near $6,528",64686528,"$6,539 (previous swing high)","$6,550","Below $6,468 (VWAP break invalidates bullish thesis)",positive,"Near call wall at $6,535 — dealers sell here, strong resistance. Long gamma suppresses moves. Needs breakout above call wall for upside.","SPXW $6530 call with $352K premium via repeated hits. 6,140 contracts traded vs 481 OI (12.8x vol/OI). Strike at $6,530 — directly at the GEX call wall ($6,535) where dealer hedging creates strong resistance. SPX at $6,528, essentially ATM. Long gamma territory means dealer hedging suppresses moves. High risk/reward: if call wall breaks, dealers chase-hedge higher creating a squeeze.",,hit,hit,774.33,6609.67,f,f,,,
03/31/2026,7:27 PM ET,SPXW,algorithm,put,bearish,6460.00,04/04/2026,171350.00,7.00,68,v2,moderate,t,6528.52,"Above VWAP ($6,470) — Near $6,528",64706528,"$6,518 (previous swing low), then $6,505","$6,490","Above $6,470 (VWAP reclaim invalidates bearish thesis)",positive,"Above gamma flip ($6,405) — long gamma territory, dealer hedging dampens selling. Needs strong catalyst to overcome gamma suppression.","SPXW $6460 put with $171K premium via repeated ascending fills. 2,438 contracts vs 188 OI (13x vol/OI). Strike between price ($6,528) and gamma flip ($6,405). Long gamma = dealers counteract selling, making drops harder. GEX context: above gamma flip, dealer hedging works against bearish direction. Lower conviction due to fighting long gamma.",,miss,missed,-244.96,6554.29,t,t,,,
03/31/2026,7:27 PM ET,SPX,whale,put,bearish,6400.00,04/17/2026,1756980.00,8.00,82,v2,strong,t,6532.08,"Above VWAP ($6,465) — Whale sweep at $6,532",64656532,"$6,518 (previous swing low), then $6,505","$6,350","Above $6,465 (VWAP reclaim invalidates bearish thesis)",neutral,"Near gamma flip at $6,405 — THE transition zone. If price breaks below, dealers switch from suppressing to amplifying moves. Key magnet and put wall confluence.","SPX $6400 put with $1.75M premium via repeated descending fills — institutional size. 6,459 contracts vs 22,231 OI. Strike at $6,400 is directly at gamma flip ($6,405) and put wall — THE key level. If SPX breaks below $6,405, dealers flip from long to short gamma and AMPLIFY the move down. Someone is betting on a gamma flip break. Highest GEX concentration at this level. April expiry = swing position.",,miss,missed,34.16,6527.27,t,t,correct,,03/31/2026 9:53 PM ET
