Signal Date,Signal Time (ET),Ticker,Category,Call/Put,Strike,Expiry,Premium,Confidence,Signal Quality,Price at Signal,Entry Trigger,Target,Invalidation,Reason,Outcome,MFE %,Review Status,Review Note
2026-03-26,16:47:49,SPXW,algorithm,call,6450.00,"April 17, 2026",635600.00,6.00,,,Above $6450,$6579.00,Below $6321.00,$636K premium flow at $6450 calls with 100% ask aggression.,hit,123.78,,
2026-03-27,13:29:45,SPX,algorithm,put,5700.00,"April 17, 2026",644680.00,7.00,,6398.53,Near $6398.53 (no VWAP data),$6270.56,Above $6526.50,$645K premium flow at $5700 puts with 100% ask aggression.,missed,63.78,,
2026-03-27,19:10:46,SPXW,whale,put,6600.00,"March 31, 2026",6881917.00,9.00,,6368.85,Near $6368.85 (no VWAP data),$6241.47,Above $6496.23,$6.9M premium flow at $6600 puts with 83% ask aggression.,missed,40.78,,
2026-03-30,11:18:47,SPX,algorithm,put,6300.00,"April 2, 2026",376250.00,8.00,,6393.22,Near $6393.22 (no VWAP data),Strike at $6300.00,Above $6521.08,$376K put flow at $6300 strike with 100% ask aggression. Price at $6393.22.,missed,81.86,,
2026-03-30,11:26:48,SPXW,algorithm,put,6525.00,"April 2, 2026",867790.00,7.00,,6387.32,Near $6387.32 (no VWAP data),$6259.57,Above $6515.07,$868K put flow at $6525 strike with 67% ask aggression. Price at $6387.32.,missed,55.12,,
2026-03-30,13:15:20,SPXW,algorithm,put,6375.00,"April 6, 2026",582580.00,9.00,,6376.01,"Below VWAP ($6,436) — Near $6,376","$6,365 (strike level, short gamma acceleration)","Above $6,436 (VWAP reclaim invalidates bearish thesis)",$583K put flow at $6375 strike with 100% ask aggression. Price at $6376.01. Negative gamma zone — moves will be amplified.,hit,536.78,,
2026-03-31,13:57:21,SPXW,algorithm,call,6500.00,"April 2, 2026",705000.00,6.00,moderate,6491.53,"Above VWAP ($6,453) — Near $6,492","$6,518 (previous swing high), then $6,539","Below $6,453 (VWAP break invalidates bullish thesis)",$705K call flow at $6500 strike with 100% ask aggression. Price at $6491.53.,hit,446.32,correct,"Entry was perfect, but Target only 9 pts away. Went to 6528. Target should have been previous major swing high at 6517-6528"
2026-03-31,19:27:13,SPXW,algorithm,call,6530.00,04/04/2026,352570.00,7.00,moderate,6528.52,"Above VWAP ($6,468) — Near $6,528","$6,539 (previous swing high)","Below $6,468 (VWAP break invalidates bullish thesis)","SPXW $6530 call with $352K premium via repeated hits. 6,140 contracts traded vs 481 OI (12.8x vol/OI). Strike at $6,530 — directly at the GEX call wall ($6,535) where dealer hedging creates strong resistance. SPX at $6,528, essentially ATM. Long gamma territory means dealer hedging suppresses moves. High risk/reward: if call wall breaks, dealers chase-hedge higher creating a squeeze.",hit,774.33,,
2026-03-31,19:27:13,SPXW,algorithm,put,6460.00,04/04/2026,171350.00,7.00,moderate,6528.52,"Above VWAP ($6,470) — Near $6,528","$6,518 (previous swing low), then $6,505","Above $6,470 (VWAP reclaim invalidates bearish thesis)","SPXW $6460 put with $171K premium via repeated ascending fills. 2,438 contracts vs 188 OI (13x vol/OI). Strike between price ($6,528) and gamma flip ($6,405). Long gamma = dealers counteract selling, making drops harder. GEX context: above gamma flip, dealer hedging works against bearish direction. Lower conviction due to fighting long gamma.",missed,-244.96,,
2026-03-31,19:27:13,SPX,whale,put,6400.00,04/17/2026,1756980.00,8.00,strong,6532.08,"Above VWAP ($6,465) — Whale sweep at $6,532","$6,518 (previous swing low), then $6,505","Above $6,465 (VWAP reclaim invalidates bearish thesis)","SPX $6400 put with $1.75M premium via repeated descending fills — institutional size. 6,459 contracts vs 22,231 OI. Strike at $6,400 is directly at gamma flip ($6,405) and put wall — THE key level. If SPX breaks below $6,405, dealers flip from long to short gamma and AMPLIFY the move down. Someone is betting on a gamma flip break. Highest GEX concentration at this level. April expiry = swing position.",missed,34.16,correct,
