Signal Date,Signal Time (ET),Ticker,Category,Call/Put,Bullish/Bearish,Strike,Expiry,Premium,Confidence,Conviction Score,Algo Version,Signal Quality,Biddie Pick,Price at Signal,Entry Trigger,Entry Price,Target,Target Near,Invalidation,Gamma Zone,Gamma Description,Reason,Suggested Trade,Trade Status,Outcome,MFE %,Max Favorable Price,Entry Price Reached,Invalidation Breached,Review Status,Review Note,Reviewed At (ET)
2026-03-26,14:19:44,GLD,algorithm,put,bearish,403.00,"April 8, 2026",489240.00,6.00,60,v2,,f,402.36,Below $403,403,$394.94,,Above $411.06,,,$489K premium sweep at $403 puts with 62% ask aggression.,,miss,missed,37.33,399.59,t,t,correct,,2026-03-30 01:30
2026-03-27,09:56:27,TSM,algorithm,call,bullish,332.50,"April 2, 2026",473208.00,7.00,70,v2,,f,322.95,On bounce from VWAP ($325.77) — Near $322.95,325.77,$332.50,$339.15,Below $316.49,,,$473K premium flow at $332.5 calls with 100% ask aggression. Price at $325.95 above VWAP ($325.77).,,hit,hit,76.26,333.79,t,t,correct,,2026-03-30 01:00
2026-03-27,10:32:57,CRCL,algorithm,call,bullish,97.00,"April 2, 2026",454658.00,6.00,60,v2,,f,93.70,On bounce from VWAP ($94.80) — Near $93.70,94.8093,$97.00,$98.94,Below $91.83,,,$455K premium flow at $97 calls with 100% ask aggression. Price at $93.29 below VWAP ($94.80).,,hit,hit,202.73,100.39,t,t,wrong,Invalidation OF 91.83 should be entry price and Target is the Entry Price of 93.70,2026-03-30 00:50
2026-03-27,10:36:44,GAP,algorithm,put,bearish,26.00,"April 17, 2026",455853.00,7.00,70,v2,,f,24.91,At VWAP ($25.00) — Near $24.91,25.0024,$24.41,$23.66,Above $25.41,,,$456K premium flow at $26 puts with 100% ask aggression. Price at $24.96 below VWAP ($25.00). Price action confirmed: SR Tag + Red Rejection at $24.93 (lower high — likely reversal).,,hit,hit,144.00,24.19,t,t,correct,FIXED IF PUT. price already at 24. Target is above entry. (Target should be 24.)  - overall direction of the move was right (down) ,2026-03-30 01:23
2026-03-27,10:37:31,TSM,whale,call,bullish,340.00,"April 17, 2026",2162339.00,7.00,70,v2,,f,322.64,Near $322.64 (no VWAP data),322.64,$329.09,$338.77,Below $316.19,,,$2.2M premium flow at $340 calls with 100% ask aggression.,,hit,hit,172.87,333.79,t,t,correct,,2026-03-30 01:01
2026-03-27,10:52:56,TSLA,algorithm,put,bearish,355.00,"April 10, 2026",588770.00,6.00,60,v2,,f,365.38,Near $365.38 (no VWAP data),365.38,$358.07,$347.11,Above $372.69,,,$589K premium flow at $355 puts with 100% ask aggression.,,hit,hit,105.47,357.67,t,t,correct,,2026-03-30 00:45
2026-03-27,11:44:01,AMD,algorithm,call,bullish,220.00,"May 1, 2026",633146.00,6.00,60,v2,,f,200.96,At VWAP ($200.08) — Near $200.96,200.082,$220.00,$224.40,Below $196.94,,,$633K premium flow at $220 calls with 100% ask aggression. Price at $201.57 above VWAP ($200.08).,,miss,missed,39.23,208.43,t,t,correct,"Entry is great, Invalidation is Great, Target is a little far fetched but... next key level would be like 203.08",2026-03-29 23:52
2026-03-27,12:46:50,QQQ,algorithm,call,bullish,567.00,"March 30, 2026",875107.00,7.00,70,v2,,f,567.29,At VWAP ($568.04) — Near $567.29,568.04,$578.64,$595.65,Below $555.94,,,$875K premium sweep at $567 calls with 53% ask aggression. Price at $566.38 below VWAP ($568.04). Negative gamma zone — moves will be amplified. Price action confirmed: Support Tag + Green Bounce at $566.08 (higher low — likely reversal).,,hit,hit,2164.52,579.80,t,t,wrong,,2026-03-29 23:23
2026-03-27,13:08:06,UAL,algorithm,put,bearish,85.00,"April 17, 2026",639222.00,6.00,60,v2,,f,90.15,Near $90.15 (no VWAP data),90.15,$88.35,$85.64,Above $91.95,,,$639K premium flow at $85 puts with 100% ask aggression.,,hit,hit,142.78,87.58,t,t,correct,"FIXED Same issue. Price is at 90.15. Entry is incorrect, it should be around now as its at a major key level. Target is correct, invalidation should be like 90.78 (not under the entry) ",2026-03-30 01:21
2026-03-27,13:20:10,HL,algorithm,call,bullish,18.00,"April 24, 2026",519350.00,6.00,60,v2,,f,17.88,Near $17.88 (no VWAP data),18,$18.24,$18.77,Below $17.52,,,$519K premium flow at $18 calls with 100% ask aggression.,,hit,hit,73.53,18.27,t,t,correct,"FIXED. Same issue. Price is at 17.88. Entry should be at VWAP, 17.74 Target is correct. Invalidation is correct. ",2026-03-30 01:20
