Signal Date,Signal Time,Ticker,Category,Call/Put,Bullish/Bearish,Strike,Expiry,Premium,Confidence,Conviction Score,Algo Version,Signal Quality,Biddie Pick,Price at Signal,Entry Trigger,Entry Price,Target,Target Near,Invalidation,Gamma Zone,Gamma Description,Reason,Suggested Trade,Trade Status,Outcome,MFE %,Max Favorable Price,Entry Price Reached,Invalidation Breached,Review Status,Review Note,Reviewed At
03/26/2026,2:19 PM ET,BE,whale,call,bullish,130.00,"April 17, 2026",1845390.00,7.00,70,v2,,f,132.44,On bounce from VWAP ($138.19) — Near $132.44,,$135.09,$139.06,Below $129.79,,,"$1.8M premium flow at $130 calls with 100% ask aggression. Price at $133.21 below VWAP ($138.19). Price action confirmed: Support Bounce + 2 Green Bars at $132.1 (higher low, higher high — confirmed).",,watching,hit,,,f,f,,,
03/26/2026,2:19 PM ET,GLD,algorithm,put,bearish,403.00,"April 8, 2026",489240.00,6.00,60,v2,,f,402.36,Below $403,403,$394.94,,Above $411.06,,,$489K premium sweep at $403 puts with 62% ask aggression.,,miss,missed,37.33,399.59,t,t,correct,,03/30/2026 1:30 AM ET
03/26/2026,2:19 PM ET,MU,algorithm,call,bullish,340.00,"April 17, 2026",645397.00,6.00,60,v2,,f,354.31,Above $340,,$361.40,$372.03,Below $333.20,,,$645K premium flow at $340 calls with 100% ask aggression.,,watching,hit,,,f,f,,,
03/26/2026,2:23 PM ET,MRVL,algorithm,put,bearish,98.00,"April 10, 2026",949560.00,8.00,80,v2,,t,98.13,Below VWAP ($99.06) — Near $98.13,,$98.00,$96.04,Above $100.09,,,$950K premium flow at $98 puts with 97% ask aggression. Price at $97.91 below VWAP ($99.06). Negative gamma zone — moves will be amplified.,,watching,hit,,,f,f,,,
03/26/2026,2:23 PM ET,IREN,algorithm,call,bullish,38.00,"April 17, 2026",445479.00,7.00,70,v2,,f,37.82,Near $37.82 (no VWAP data),38,$38.58,$39.71,Below $37.06,,,$445K premium flow at $38 calls with 100% ask aggression.,,partial_hit,partial_hit,65.79,38.50,t,t,,,
03/26/2026,4:47 PM ET,SPXW,algorithm,call,bullish,6450.00,"April 17, 2026",635600.00,6.00,60,v2,,f,,Above $6450,6450,$6579.00,,Below $6321.00,,,$636K premium flow at $6450 calls with 100% ask aggression.,,hit,hit,123.78,6609.67,t,t,,,
03/26/2026,10:13 PM ET,QQQ,whale,put,bearish,585.00,"April 17, 2026",1113555.00,8.00,80,v2,,t,575.75,Below VWAP ($579.01) — Near $575.75,,$564.24,$546.96,Above $587.26,,,"$1.1M premium flow at $585 puts with 96% ask aggression. Price at $573.54 below VWAP ($579.01). Negative gamma zone — moves will be amplified. Price action confirmed: SR Tag + 2 Red Bars at $573.43 (lower high, lower low — confirmed).",,watching,hit,,,f,f,,,
03/26/2026,10:13 PM ET,SPY,algorithm,put,bearish,626.00,"March 31, 2026",729875.00,7.00,70,v2,,f,647.27,At VWAP ($649.69) — Near $647.27,,$626.00,$613.48,Above $660.22,,,"$730K premium sweep at $626 puts with 100% ask aggression. Price at $645.09 below VWAP ($649.69). Price action confirmed: SR Tag + 2 Red Bars at $644.82 (lower high, lower low — confirmed).",,partial_hit,partial_hit,,,f,f,,,
03/27/2026,9:36 AM ET,SPY,whale,put,bearish,640.00,"April 30, 2026",2322384.00,9.00,90,v2,,t,640.98,At VWAP ($642.17) — Near $640.98,,$640.00,$627.20,Above $653.80,,,"$2.3M premium sweep at $640 puts with 100% ask aggression. Price at $640.93 below VWAP ($642.17). Negative gamma zone — moves will be amplified. Price action confirmed: SR Tag + 2 Red Bars at $641.65 (lower high, lower low — confirmed).",,watching,hit,,,f,f,,,
03/27/2026,9:36 AM ET,META,algorithm,put,bearish,587.50,"March 27, 2026",915000.00,6.00,60,v2,,f,536.96,Near $536.96 (no VWAP data),,$526.22,$510.11,Above $547.70,,,"$915K premium flow at $587.5 puts with 100% ask aggression. Price at $547.47 above VWAP ($540.51). Price action confirmed: SR Tag + 2 Red Bars at $543.35 (lower high, lower low — confirmed).",,watching,hit,,,f,f,,,
03/27/2026,9:40 AM ET,META,spread,put,bearish,587.50,"March 21, 2026",915000.00,7.00,70,v2,,f,537.13,At VWAP ($539.58) — Near $537.13,,$526.39,$510.27,Above $547.87,,,"META's strike on the institutional put is deep in-the-money at $587.50 with current price at $537.36, suggesting the flow may be a hedge rather than a directional short-term bet. With current price already $50 below the institutional strike and a near-term target of only S1 at $532.92, a tighter bear put spread centered around current price captures the actual expected move far more efficiently, reducing cost basis and premium decay risk on a position where the realistic downside target is modest.",,watching,hit,,,f,f,,,
03/27/2026,9:43 AM ET,IREN,algorithm,put,bearish,37.00,"April 17, 2026",537480.00,8.00,80,v2,,t,36.63,Below VWAP ($36.95) — Near $36.63,,$35.90,$34.80,Above $37.36,,,"$537K premium flow at $37 puts with 100% ask aggression. Price at $36.80 below VWAP ($36.95). Negative gamma zone — moves will be amplified. Price action confirmed: SR Tag + 2 Red Bars at $37 (lower high, lower low — confirmed).",,watching,hit,,,f,f,,,
03/27/2026,9:43 AM ET,GLD,whale,put,bearish,405.00,"March 31, 2026",1009992.00,7.00,70,v2,,f,406.77,At VWAP ($406.38) — Near $406.77,,$405.00,$396.90,Above $414.91,,,$1.0M premium sweep at $405 puts with 100% ask aggression. Price at $405.70 below VWAP ($406.38). Negative gamma zone — moves will be amplified.,,partial_hit,partial_hit,,,f,f,,,
03/27/2026,9:51 AM ET,MSTR,algorithm,put,bearish,120.00,"April 2, 2026",421006.00,8.00,80,v2,,t,125.63,Below VWAP ($128.69) — Near $125.63,128.69125,$120.00,$117.60,Above $128.14,,,$421K premium sweep at $120 puts with 100% ask aggression. Price at $127.26 below VWAP ($128.69).,,hit,hit,139.96,117.75,t,t,,,
03/27/2026,9:51 AM ET,GOOGL,algorithm,call,bullish,275.00,"March 27, 2026",411987.00,7.00,70,v2,,f,277.25,At VWAP ($276.96) — Near $277.25,,$282.80,$291.11,Below $271.70,,,"$412K premium flow at $275 calls with 100% ask aggression. Price at $277.79 above VWAP ($276.96). Negative gamma zone — moves will be amplified. Price action confirmed: Support Bounce + 2 Green Bars at $276.97 (higher low, higher high — confirmed).",,watching,missed,,,f,f,,,
03/27/2026,9:51 AM ET,SLV,algorithm,call,bullish,62.00,"April 2, 2026",376761.00,7.00,70,v2,,f,61.60,At VWAP ($61.64) — Near $61.60,,$62.00,$63.24,Below $60.37,,,"$377K premium flow at $62 calls with 100% ask aggression. Price at $61.87 above VWAP ($61.64). Negative gamma zone — moves will be amplified. Price action confirmed: Support Bounce + 2 Green Bars at $62 (higher low, higher high — confirmed).",,watching,hit,,,f,f,,,
03/27/2026,9:51 AM ET,COP,algorithm,call,bullish,140.00,"April 17, 2026",392677.00,6.00,60,v2,,f,134.56,Above VWAP ($133.57) — Near $134.56,133.57134,$140.00,$142.80,Below $131.87,,,"$393K premium flow at $140 calls with 100% ask aggression. Price at $133.54 below VWAP ($133.57). Price action confirmed: Support Bounce + 2 Green Bars at $133.55 (higher low, higher high — confirmed).",,miss,missed,30.70,136.23,t,t,,,
03/27/2026,9:56 AM ET,IWM,algorithm,put,bearish,234.00,"April 17, 2026",649813.00,9.00,90,v2,,t,244.52,Below VWAP ($245.91) — Near $244.52,245.91244,$234.00,$229.32,Above $249.41,,,"$650K premium sweep at $234 puts with 99% ask aggression. Price at $245.17 below VWAP ($245.91). Price action confirmed: SR Tag + 2 Red Bars at $245.78 (lower high, lower low — confirmed).",,miss,missed,58.08,238.41,t,t,,,
03/27/2026,9:56 AM ET,TSM,algorithm,call,bullish,332.50,"April 2, 2026",473208.00,7.00,70,v2,,f,322.95,On bounce from VWAP ($325.77) — Near $322.95,325.77,$332.50,$339.15,Below $316.49,,,$473K premium flow at $332.5 calls with 100% ask aggression. Price at $325.95 above VWAP ($325.77).,,hit,hit,76.26,333.79,t,t,correct,,03/30/2026 1:00 AM ET
03/27/2026,9:56 AM ET,TSLA,algorithm,put,bearish,335.00,"April 17, 2026",852137.00,7.00,70,v2,,f,362.56,Below VWAP ($365.84) — Near $362.56,365.84362,$335.00,$328.30,Above $369.81,,,$852K premium flow at $335 puts with 100% ask aggression. Price at $365.80 below VWAP ($365.84).,,miss,missed,38.24,352.02,t,t,,,
03/27/2026,9:56 AM ET,AMD,algorithm,put,bearish,175.00,"April 17, 2026",501097.00,6.00,60,v2,,f,198.37,Below VWAP ($201.41) — Near $198.37,201.41198,$175.00,$171.50,Above $202.34,,,$501K premium flow at $175 puts with 100% ask aggression. Price at $198.94 below VWAP ($201.41).,,miss,missed,2.91,197.69,t,t,,,
03/27/2026,10:08 AM ET,U,algorithm,call,bullish,20.00,"April 17, 2026",385685.00,6.00,60,v2,,f,18.88,Near $18.88 (no VWAP data),,$19.26,$19.82,Below $18.50,,,$386K premium flow at $20 calls with 96% ask aggression.,,watching,hit,,,f,f,,,
03/27/2026,10:12 AM ET,SPY,algorithm,put,bearish,639.00,"April 2, 2026",720196.00,8.00,80,v2,,t,639.71,At VWAP ($640.82) — Near $639.71,,$639.00,$626.22,Above $652.50,,,$720K premium flow at $639 puts with 100% ask aggression. Price at $638.86 below VWAP ($640.82). Negative gamma zone — moves will be amplified.,,watching,hit,,,f,f,,,
03/27/2026,10:12 AM ET,IBIT,algorithm,put,bearish,35.00,"May 1, 2026",925026.00,7.00,70,v2,,f,37.57,At VWAP ($37.72) — Near $37.57,37.7237,$35.00,$34.30,Above $38.32,,,$925K premium flow at $35 puts with 100% ask aggression. Price at $37.53 below VWAP ($37.72).,,miss,missed,17.12,37.13,t,t,,,
03/27/2026,10:16 AM ET,AG,algorithm,call,bullish,18.00,"April 17, 2026",812175.00,6.00,60,v2,,f,20.04,Near $20.04 (no VWAP data),,$20.44,$21.04,Below $19.64,,,$812K premium flow at $18 calls with 100% ask aggression.,,watching,hit,,,f,f,,,
03/27/2026,10:18 AM ET,NVDA,algorithm,put,bearish,170.00,"March 30, 2026",478639.00,8.00,80,v2,,t,168.73,Below VWAP ($169.65) — Near $168.73,,$165.36,$160.29,Above $172.10,,,$479K premium sweep at $170 puts with 100% ask aggression. Price at $168.89 below VWAP ($169.65). Negative gamma zone — moves will be amplified.,,partial_hit,partial_hit,,,f,f,,,
03/27/2026,10:23 AM ET,TSLA,whale,put,bearish,360.00,"April 10, 2026",1109919.00,7.00,70,v2,,f,363.59,Near $363.59 (no VWAP data),,$356.32,$345.41,Above $370.86,,,$1.1M premium flow at $360 puts with 100% ask aggression.,,partial_hit,partial_hit,39.36,359.47,f,f,,,
03/27/2026,10:23 AM ET,RKLB,algorithm,call,bullish,63.00,"March 27, 2026",275473.00,7.00,70,v2,,f,62.28,Near $62.28 (no VWAP data),,$63.53,$65.39,Below $61.03,,,$275K premium flow at $63 calls with 100% ask aggression.,,watching,hit,,,f,f,,,
03/27/2026,10:23 AM ET,INTU,algorithm,put,bearish,430.00,"April 17, 2026",359630.00,6.00,60,v2,,f,416.61,At VWAP ($416.58) — Near $416.61,,$408.28,$395.78,Above $424.94,,,$360K premium sweep at $430 puts with 78% ask aggression. Price at $412.04 below VWAP ($416.58).,,partial_hit,partial_hit,,,f,f,,,
03/27/2026,10:24 AM ET,GOOGL,algorithm,call,bullish,280.00,"April 17, 2026",264000.00,6.00,60,v2,,f,278.06,Near $278.06 (no VWAP data),280,$283.62,$291.96,Below $272.50,,,$264K premium flow at $280 calls with 100% ask aggression.,,hit,hit,375.17,283.99,t,t,,,
03/27/2026,10:32 AM ET,MRNA,algorithm,put,bearish,50.00,"April 17, 2026",326583.00,8.00,80,v2,,t,51.79,Below VWAP ($52.35) — Near $51.79,,$50.00,$49.00,Above $52.83,,,$327K premium flow at $50 puts with 100% ask aggression. Price at $51.60 below VWAP ($52.35).,,watching,hit,,,f,f,,,
03/27/2026,10:32 AM ET,SOFI,algorithm,put,bearish,15.00,"May 1, 2026",732683.00,7.00,70,v2,,f,15.38,At VWAP ($15.41) — Near $15.38,,$15.00,$14.70,Above $15.69,,,$733K premium flow at $15 puts with 100% ask aggression. Price at $15.36 below VWAP ($15.41).,,partial_hit,partial_hit,,,f,f,,,
03/27/2026,10:32 AM ET,CRCL,algorithm,call,bullish,97.00,"April 2, 2026",454658.00,6.00,60,v2,,f,93.70,On bounce from VWAP ($94.80) — Near $93.70,94.8093,$97.00,$98.94,Below $91.83,,,$455K premium flow at $97 calls with 100% ask aggression. Price at $93.29 below VWAP ($94.80).,,hit,hit,202.73,100.39,t,t,wrong,Invalidation OF 91.83 should be entry price and Target is the Entry Price of 93.70,03/30/2026 12:50 AM ET
03/27/2026,10:36 AM ET,GAP,algorithm,put,bearish,26.00,"April 17, 2026",455853.00,7.00,70,v2,,f,24.91,At VWAP ($25.00) — Near $24.91,25.0024,$24.41,$23.66,Above $25.41,,,$456K premium flow at $26 puts with 100% ask aggression. Price at $24.96 below VWAP ($25.00). Price action confirmed: SR Tag + Red Rejection at $24.93 (lower high — likely reversal).,,hit,hit,144.00,24.19,t,t,correct,FIXED IF PUT. price already at 24. Target is above entry. (Target should be 24.)  - overall direction of the move was right (down) ,03/30/2026 1:23 AM ET
03/27/2026,10:36 AM ET,CVNA,algorithm,call,bullish,295.00,"March 27, 2026",450000.00,7.00,70,v2,,f,301.52,Above VWAP ($299.59) — Near $301.52,,$307.55,$316.60,Below $295.49,,,$450K premium sweep at $295 calls with 100% ask aggression. Price at $303.08 above VWAP ($299.59).,,partial_hit,partial_hit,,,f,f,,,
03/27/2026,10:37 AM ET,TSM,whale,call,bullish,340.00,"April 17, 2026",2162339.00,7.00,70,v2,,f,322.64,Near $322.64 (no VWAP data),322.64,$329.09,$338.77,Below $316.19,,,$2.2M premium flow at $340 calls with 100% ask aggression.,,hit,hit,172.87,333.79,t,t,correct,,03/30/2026 1:01 AM ET
03/27/2026,10:37 AM ET,PLTR,algorithm,put,bearish,146.00,"April 2, 2026",436000.00,6.00,60,v2,,f,143.07,Near $143.07 (no VWAP data),,$140.21,$135.92,Above $145.93,,,$436K premium flow at $146 puts with 100% ask aggression.,,partial_hit,partial_hit,,,f,f,,,
