Signal Date,Signal Time (ET),Ticker,Category,Call/Put,Strike,Expiry,Premium,Confidence,Signal Quality,Price at Signal,Entry Trigger,Target,Invalidation,Reason,Outcome,MFE %,Review Status,Review Note
2026-03-26,14:19:43,BE,whale,call,130.00,"April 17, 2026",1845390.00,7.00,,132.44,On bounce from VWAP ($138.19) — Near $132.44,$135.09,Below $129.79,"$1.8M premium flow at $130 calls with 100% ask aggression. Price at $133.21 below VWAP ($138.19). Price action confirmed: Support Bounce + 2 Green Bars at $132.1 (higher low, higher high — confirmed).",hit,,,
2026-03-26,14:19:44,GLD,algorithm,put,403.00,"April 8, 2026",489240.00,6.00,,402.36,Below $403,$394.94,Above $411.06,$489K premium sweep at $403 puts with 62% ask aggression.,missed,37.33,correct,
2026-03-26,14:19:44,MU,algorithm,call,340.00,"April 17, 2026",645397.00,6.00,,354.31,Above $340,$361.40,Below $333.20,$645K premium flow at $340 calls with 100% ask aggression.,hit,,,
2026-03-26,14:23:15,MRVL,algorithm,put,98.00,"April 10, 2026",949560.00,8.00,,98.13,Below VWAP ($99.06) — Near $98.13,$98.00,Above $100.09,$950K premium flow at $98 puts with 97% ask aggression. Price at $97.91 below VWAP ($99.06). Negative gamma zone — moves will be amplified.,hit,,,
2026-03-26,14:23:15,IREN,algorithm,call,38.00,"April 17, 2026",445479.00,7.00,,37.82,Near $37.82 (no VWAP data),$38.58,Below $37.06,$445K premium flow at $38 calls with 100% ask aggression.,partial_hit,65.79,,
2026-03-26,16:47:49,SPXW,algorithm,call,6450.00,"April 17, 2026",635600.00,6.00,,,Above $6450,$6579.00,Below $6321.00,$636K premium flow at $6450 calls with 100% ask aggression.,hit,123.78,,
2026-03-26,22:13:09,QQQ,whale,put,585.00,"April 17, 2026",1113555.00,8.00,,575.75,Below VWAP ($579.01) — Near $575.75,$564.24,Above $587.26,"$1.1M premium flow at $585 puts with 96% ask aggression. Price at $573.54 below VWAP ($579.01). Negative gamma zone — moves will be amplified. Price action confirmed: SR Tag + 2 Red Bars at $573.43 (lower high, lower low — confirmed).",hit,,,
2026-03-26,22:13:09,SPY,algorithm,put,626.00,"March 31, 2026",729875.00,7.00,,647.27,At VWAP ($649.69) — Near $647.27,$626.00,Above $660.22,"$730K premium sweep at $626 puts with 100% ask aggression. Price at $645.09 below VWAP ($649.69). Price action confirmed: SR Tag + 2 Red Bars at $644.82 (lower high, lower low — confirmed).",partial_hit,,,
2026-03-27,09:36:14,SPY,whale,put,640.00,"April 30, 2026",2322384.00,9.00,,640.98,At VWAP ($642.17) — Near $640.98,$640.00,Above $653.80,"$2.3M premium sweep at $640 puts with 100% ask aggression. Price at $640.93 below VWAP ($642.17). Negative gamma zone — moves will be amplified. Price action confirmed: SR Tag + 2 Red Bars at $641.65 (lower high, lower low — confirmed).",hit,,,
2026-03-27,09:36:14,META,algorithm,put,587.50,"March 27, 2026",915000.00,6.00,,536.96,Near $536.96 (no VWAP data),$526.22,Above $547.70,"$915K premium flow at $587.5 puts with 100% ask aggression. Price at $547.47 above VWAP ($540.51). Price action confirmed: SR Tag + 2 Red Bars at $543.35 (lower high, lower low — confirmed).",hit,,,
2026-03-27,09:40:53,META,spread,put,587.50,"March 21, 2026",915000.00,7.00,,537.13,At VWAP ($539.58) — Near $537.13,$526.39,Above $547.87,"META's strike on the institutional put is deep in-the-money at $587.50 with current price at $537.36, suggesting the flow may be a hedge rather than a directional short-term bet. With current price already $50 below the institutional strike and a near-term target of only S1 at $532.92, a tighter bear put spread centered around current price captures the actual expected move far more efficiently, reducing cost basis and premium decay risk on a position where the realistic downside target is modest.",hit,,,
2026-03-27,09:43:25,IREN,algorithm,put,37.00,"April 17, 2026",537480.00,8.00,,36.63,Below VWAP ($36.95) — Near $36.63,$35.90,Above $37.36,"$537K premium flow at $37 puts with 100% ask aggression. Price at $36.80 below VWAP ($36.95). Negative gamma zone — moves will be amplified. Price action confirmed: SR Tag + 2 Red Bars at $37 (lower high, lower low — confirmed).",hit,,,
2026-03-27,09:43:25,GLD,whale,put,405.00,"March 31, 2026",1009992.00,7.00,,406.77,At VWAP ($406.38) — Near $406.77,$405.00,Above $414.91,$1.0M premium sweep at $405 puts with 100% ask aggression. Price at $405.70 below VWAP ($406.38). Negative gamma zone — moves will be amplified.,partial_hit,,,
2026-03-27,09:51:50,MSTR,algorithm,put,120.00,"April 2, 2026",421006.00,8.00,,125.63,Below VWAP ($128.69) — Near $125.63,$120.00,Above $128.14,$421K premium sweep at $120 puts with 100% ask aggression. Price at $127.26 below VWAP ($128.69).,hit,139.96,,
2026-03-27,09:51:51,GOOGL,algorithm,call,275.00,"March 27, 2026",411987.00,7.00,,277.25,At VWAP ($276.96) — Near $277.25,$282.80,Below $271.70,"$412K premium flow at $275 calls with 100% ask aggression. Price at $277.79 above VWAP ($276.96). Negative gamma zone — moves will be amplified. Price action confirmed: Support Bounce + 2 Green Bars at $276.97 (higher low, higher high — confirmed).",missed,,,
2026-03-27,09:51:51,SLV,algorithm,call,62.00,"April 2, 2026",376761.00,7.00,,61.60,At VWAP ($61.64) — Near $61.60,$62.00,Below $60.37,"$377K premium flow at $62 calls with 100% ask aggression. Price at $61.87 above VWAP ($61.64). Negative gamma zone — moves will be amplified. Price action confirmed: Support Bounce + 2 Green Bars at $62 (higher low, higher high — confirmed).",hit,,,
2026-03-27,09:51:51,COP,algorithm,call,140.00,"April 17, 2026",392677.00,6.00,,134.56,Above VWAP ($133.57) — Near $134.56,$140.00,Below $131.87,"$393K premium flow at $140 calls with 100% ask aggression. Price at $133.54 below VWAP ($133.57). Price action confirmed: Support Bounce + 2 Green Bars at $133.55 (higher low, higher high — confirmed).",missed,30.70,,
2026-03-27,09:56:26,IWM,algorithm,put,234.00,"April 17, 2026",649813.00,9.00,,244.52,Below VWAP ($245.91) — Near $244.52,$234.00,Above $249.41,"$650K premium sweep at $234 puts with 99% ask aggression. Price at $245.17 below VWAP ($245.91). Price action confirmed: SR Tag + 2 Red Bars at $245.78 (lower high, lower low — confirmed).",missed,58.08,,
2026-03-27,09:56:27,TSM,algorithm,call,332.50,"April 2, 2026",473208.00,7.00,,322.95,On bounce from VWAP ($325.77) — Near $322.95,$332.50,Below $316.49,$473K premium flow at $332.5 calls with 100% ask aggression. Price at $325.95 above VWAP ($325.77).,hit,76.26,correct,
2026-03-27,09:56:27,TSLA,algorithm,put,335.00,"April 17, 2026",852137.00,7.00,,362.56,Below VWAP ($365.84) — Near $362.56,$335.00,Above $369.81,$852K premium flow at $335 puts with 100% ask aggression. Price at $365.80 below VWAP ($365.84).,missed,38.24,,
2026-03-27,09:56:28,AMD,algorithm,put,175.00,"April 17, 2026",501097.00,6.00,,198.37,Below VWAP ($201.41) — Near $198.37,$175.00,Above $202.34,$501K premium flow at $175 puts with 100% ask aggression. Price at $198.94 below VWAP ($201.41).,missed,2.91,,
2026-03-27,10:08:17,U,algorithm,call,20.00,"April 17, 2026",385685.00,6.00,,18.88,Near $18.88 (no VWAP data),$19.26,Below $18.50,$386K premium flow at $20 calls with 96% ask aggression.,hit,,,
2026-03-27,10:12:24,SPY,algorithm,put,639.00,"April 2, 2026",720196.00,8.00,,639.71,At VWAP ($640.82) — Near $639.71,$639.00,Above $652.50,$720K premium flow at $639 puts with 100% ask aggression. Price at $638.86 below VWAP ($640.82). Negative gamma zone — moves will be amplified.,hit,,,
2026-03-27,10:12:25,IBIT,algorithm,put,35.00,"May 1, 2026",925026.00,7.00,,37.57,At VWAP ($37.72) — Near $37.57,$35.00,Above $38.32,$925K premium flow at $35 puts with 100% ask aggression. Price at $37.53 below VWAP ($37.72).,missed,17.12,,
2026-03-27,10:16:14,AG,algorithm,call,18.00,"April 17, 2026",812175.00,6.00,,20.04,Near $20.04 (no VWAP data),$20.44,Below $19.64,$812K premium flow at $18 calls with 100% ask aggression.,hit,,,
2026-03-27,10:18:56,NVDA,algorithm,put,170.00,"March 30, 2026",478639.00,8.00,,168.73,Below VWAP ($169.65) — Near $168.73,$165.36,Above $172.10,$479K premium sweep at $170 puts with 100% ask aggression. Price at $168.89 below VWAP ($169.65). Negative gamma zone — moves will be amplified.,partial_hit,,,
2026-03-27,10:23:22,TSLA,whale,put,360.00,"April 10, 2026",1109919.00,7.00,,363.59,Near $363.59 (no VWAP data),$356.32,Above $370.86,$1.1M premium flow at $360 puts with 100% ask aggression.,partial_hit,39.36,,
2026-03-27,10:23:22,RKLB,algorithm,call,63.00,"March 27, 2026",275473.00,7.00,,62.28,Near $62.28 (no VWAP data),$63.53,Below $61.03,$275K premium flow at $63 calls with 100% ask aggression.,hit,,,
2026-03-27,10:23:42,INTU,algorithm,put,430.00,"April 17, 2026",359630.00,6.00,,416.61,At VWAP ($416.58) — Near $416.61,$408.28,Above $424.94,$360K premium sweep at $430 puts with 78% ask aggression. Price at $412.04 below VWAP ($416.58).,partial_hit,,,
2026-03-27,10:24:22,GOOGL,algorithm,call,280.00,"April 17, 2026",264000.00,6.00,,278.06,Near $278.06 (no VWAP data),$283.62,Below $272.50,$264K premium flow at $280 calls with 100% ask aggression.,hit,375.17,,
2026-03-27,10:32:56,MRNA,algorithm,put,50.00,"April 17, 2026",326583.00,8.00,,51.79,Below VWAP ($52.35) — Near $51.79,$50.00,Above $52.83,$327K premium flow at $50 puts with 100% ask aggression. Price at $51.60 below VWAP ($52.35).,hit,,,
2026-03-27,10:32:57,SOFI,algorithm,put,15.00,"May 1, 2026",732683.00,7.00,,15.38,At VWAP ($15.41) — Near $15.38,$15.00,Above $15.69,$733K premium flow at $15 puts with 100% ask aggression. Price at $15.36 below VWAP ($15.41).,partial_hit,,,
2026-03-27,10:32:57,CRCL,algorithm,call,97.00,"April 2, 2026",454658.00,6.00,,93.70,On bounce from VWAP ($94.80) — Near $93.70,$97.00,Below $91.83,$455K premium flow at $97 calls with 100% ask aggression. Price at $93.29 below VWAP ($94.80).,hit,202.73,wrong,Invalidation OF 91.83 should be entry price and Target is the Entry Price of 93.70
2026-03-27,10:36:44,GAP,algorithm,put,26.00,"April 17, 2026",455853.00,7.00,,24.91,At VWAP ($25.00) — Near $24.91,$24.41,Above $25.41,$456K premium flow at $26 puts with 100% ask aggression. Price at $24.96 below VWAP ($25.00). Price action confirmed: SR Tag + Red Rejection at $24.93 (lower high — likely reversal).,hit,144.00,correct,FIXED IF PUT. price already at 24. Target is above entry. (Target should be 24.)  - overall direction of the move was right (down) 
2026-03-27,10:36:44,CVNA,algorithm,call,295.00,"March 27, 2026",450000.00,7.00,,301.52,Above VWAP ($299.59) — Near $301.52,$307.55,Below $295.49,$450K premium sweep at $295 calls with 100% ask aggression. Price at $303.08 above VWAP ($299.59).,partial_hit,,,
2026-03-27,10:37:31,TSM,whale,call,340.00,"April 17, 2026",2162339.00,7.00,,322.64,Near $322.64 (no VWAP data),$329.09,Below $316.19,$2.2M premium flow at $340 calls with 100% ask aggression.,hit,172.87,correct,
2026-03-27,10:37:32,PLTR,algorithm,put,146.00,"April 2, 2026",436000.00,6.00,,143.07,Near $143.07 (no VWAP data),$140.21,Above $145.93,$436K premium flow at $146 puts with 100% ask aggression.,partial_hit,,,
2026-03-27,10:49:02,GLD,whale,call,410.00,"April 2, 2026",1902383.00,8.00,,410.93,Above VWAP ($408.05) — Near $410.93,$419.15,Below $402.71,"$1.9M premium flow at $410 calls with 100% ask aggression. Price at $410.00 above VWAP ($408.05). Negative gamma zone — moves will be amplified. Price action confirmed: Support Bounce + 2 Green Bars at $410 (higher low, higher high — confirmed).",partial_hit,,,
2026-03-27,10:49:02,SLV,algorithm,call,62.50,"April 2, 2026",755994.00,6.00,,62.89,Above VWAP ($61.90) — Near $62.89,$64.15,Below $61.63,"$756K premium flow at $62.5 calls with 100% ask aggression. Price at $62.66 above VWAP ($61.90). Negative gamma zone — moves will be amplified. Price action confirmed: Support Bounce + 2 Green Bars at $62.49 (higher low, higher high — confirmed).",hit,,,
2026-03-27,10:52:56,TSLA,algorithm,put,355.00,"April 10, 2026",588770.00,6.00,,365.38,Near $365.38 (no VWAP data),$358.07,Above $372.69,$589K premium flow at $355 puts with 100% ask aggression.,hit,105.47,correct,
2026-03-27,10:56:39,SPY,algorithm,call,642.00,"March 27, 2026",327003.00,6.00,,640.19,Near $640.19 (no VWAP data),$652.99,Below $627.39,$327K premium flow at $642 calls with 100% ask aggression.,missed,,,
2026-03-27,10:56:39,NOW,algorithm,call,100.00,"April 17, 2026",930500.00,6.00,,99.01,Near $99.01 (no VWAP data),$100.99,Below $97.03,$931K premium flow at $100 calls with 100% ask aggression.,hit,,,
2026-03-27,11:26:56,FCX,whale,call,59.00,"April 17, 2026",1074974.00,7.00,,56.99,Above VWAP ($55.72) — Near $56.99,$59.00,Below $55.85,"$1.1M premium flow at $59 calls with 100% ask aggression. Price at $56.69 above VWAP ($55.72). Price action confirmed: Support Bounce + 2 Green Bars at $56.4 (higher low, higher high — confirmed).",missed,57.71,,
2026-03-27,11:26:56,QQQ,algorithm,put,570.00,"March 27, 2026",685582.00,7.00,,568.45,At VWAP ($568.14) — Near $568.45,$557.08,Above $579.82,$686K premium sweep at $570 puts with 98% ask aggression. Price at $567.21 below VWAP ($568.14). Negative gamma zone — moves will be amplified.,partial_hit,,,
2026-03-27,11:26:56,MSTR,algorithm,put,125.00,"April 10, 2026",897245.00,7.00,,126.69,At VWAP ($126.26) — Near $126.69,$125.00,Above $129.22,$897K premium flow at $125 puts with 100% ask aggression. Price at $125.73 below VWAP ($126.26). Negative gamma zone — moves will be amplified.,hit,,,
2026-03-27,11:34:32,XBI,algorithm,put,123.00,"April 17, 2026",479665.00,7.00,,122.25,Near $122.25 (no VWAP data),$119.80,Above $124.70,$480K premium sweep at $123 puts with 100% ask aggression.,hit,,,
2026-03-27,11:44:00,AMZN,algorithm,put,197.50,"April 17, 2026",538889.00,8.00,,201.05,Below VWAP ($202.07) — Near $201.05,$197.50,Above $205.07,$539K premium flow at $197.5 puts with 100% ask aggression. Price at $201.05 below VWAP ($202.07). Negative gamma zone — moves will be amplified.,partial_hit,,,
2026-03-27,11:44:01,AMD,algorithm,call,220.00,"May 1, 2026",633146.00,6.00,,200.96,At VWAP ($200.08) — Near $200.96,$220.00,Below $196.94,$633K premium flow at $220 calls with 100% ask aggression. Price at $201.57 above VWAP ($200.08).,missed,39.23,correct,"Entry is great, Invalidation is Great, Target is a little far fetched but... next key level would be like 203.08"
2026-03-27,11:46:11,QQQ,algorithm,call,565.00,"April 2, 2026",360495.00,6.00,,568.52,At VWAP ($568.20) — Near $568.52,$579.89,Below $557.15,$360K premium flow at $565 calls with 68% ask aggression. Price at $568.18 below VWAP ($568.20). Negative gamma zone — moves will be amplified.,missed,,,
2026-03-27,12:04:10,NVDA,whale,call,170.00,"March 30, 2026",1051280.00,7.00,,169.53,At VWAP ($169.19) — Near $169.53,$170.00,Below $166.14,$1.1M premium flow at $170 calls with 100% ask aggression. Price at $169.68 above VWAP ($169.19). Negative gamma zone — moves will be amplified.,missed,,,
2026-03-27,12:19:02,SLV,algorithm,put,63.00,"April 2, 2026",379956.00,6.00,,64.11,Near $64.11 (no VWAP data),$63.00,Above $65.39,$380K premium flow at $63 puts with 100% ask aggression. Price at $63.98 above VWAP ($63.04). Negative gamma zone — moves will be amplified.,hit,345.92,,
2026-03-27,12:46:49,GLD,algorithm,call,416.00,"April 2, 2026",394940.00,8.00,,415.24,Above VWAP ($412.20) — Near $415.24,$416.00,Below $406.94,$395K premium flow at $416 calls with 100% ask aggression. Price at $415.14 above VWAP ($412.20). Negative gamma zone — moves will be amplified.,hit,,,
2026-03-27,12:46:50,QQQ,algorithm,call,567.00,"March 30, 2026",875107.00,7.00,,567.29,At VWAP ($568.04) — Near $567.29,$578.64,Below $555.94,$875K premium sweep at $567 calls with 53% ask aggression. Price at $566.38 below VWAP ($568.04). Negative gamma zone — moves will be amplified. Price action confirmed: Support Tag + Green Bounce at $566.08 (higher low — likely reversal).,hit,2164.52,wrong,
2026-03-27,12:46:50,MRNA,algorithm,call,51.00,"April 10, 2026",381865.00,7.00,,50.46,Near $50.46 (no VWAP data),$51.47,Below $49.45,$382K premium flow at $51 calls with 100% ask aggression.,hit,,,
2026-03-27,12:46:50,CRWD,algorithm,put,350.00,"April 17, 2026",590847.00,7.00,,368.26,Near $368.26 (no VWAP data),$350.00,Above $375.63,$591K premium flow at $350 puts with 100% ask aggression. Price at $368.56 above VWAP ($368.50).,missed,6.79,,
