Signal Date,Signal Time (ET),Ticker,Category,Call/Put,Strike,Expiry,Premium,Confidence,Signal Quality,Price at Signal,Entry Trigger,Target,Invalidation,Reason,Outcome,MFE %,Review Status,Review Note
2026-03-26,14:19:44,GLD,algorithm,put,403.00,"April 8, 2026",489240.00,6.00,,402.36,Below $403,$394.94,Above $411.06,$489K premium sweep at $403 puts with 62% ask aggression.,missed,37.33,correct,
2026-03-27,09:56:27,TSM,algorithm,call,332.50,"April 2, 2026",473208.00,7.00,,322.95,On bounce from VWAP ($325.77) — Near $322.95,$332.50,Below $316.49,$473K premium flow at $332.5 calls with 100% ask aggression. Price at $325.95 above VWAP ($325.77).,hit,76.26,correct,
2026-03-27,10:32:57,CRCL,algorithm,call,97.00,"April 2, 2026",454658.00,6.00,,93.70,On bounce from VWAP ($94.80) — Near $93.70,$97.00,Below $91.83,$455K premium flow at $97 calls with 100% ask aggression. Price at $93.29 below VWAP ($94.80).,hit,202.73,wrong,Invalidation OF 91.83 should be entry price and Target is the Entry Price of 93.70
2026-03-27,10:36:44,GAP,algorithm,put,26.00,"April 17, 2026",455853.00,7.00,,24.91,At VWAP ($25.00) — Near $24.91,$24.41,Above $25.41,$456K premium flow at $26 puts with 100% ask aggression. Price at $24.96 below VWAP ($25.00). Price action confirmed: SR Tag + Red Rejection at $24.93 (lower high — likely reversal).,hit,144.00,correct,FIXED IF PUT. price already at 24. Target is above entry. (Target should be 24.)  - overall direction of the move was right (down) 
2026-03-27,10:37:31,TSM,whale,call,340.00,"April 17, 2026",2162339.00,7.00,,322.64,Near $322.64 (no VWAP data),$329.09,Below $316.19,$2.2M premium flow at $340 calls with 100% ask aggression.,hit,172.87,correct,
2026-03-27,10:52:56,TSLA,algorithm,put,355.00,"April 10, 2026",588770.00,6.00,,365.38,Near $365.38 (no VWAP data),$358.07,Above $372.69,$589K premium flow at $355 puts with 100% ask aggression.,hit,105.47,correct,
2026-03-27,11:44:01,AMD,algorithm,call,220.00,"May 1, 2026",633146.00,6.00,,200.96,At VWAP ($200.08) — Near $200.96,$220.00,Below $196.94,$633K premium flow at $220 calls with 100% ask aggression. Price at $201.57 above VWAP ($200.08).,missed,39.23,correct,"Entry is great, Invalidation is Great, Target is a little far fetched but... next key level would be like 203.08"
2026-03-27,12:46:50,QQQ,algorithm,call,567.00,"March 30, 2026",875107.00,7.00,,567.29,At VWAP ($568.04) — Near $567.29,$578.64,Below $555.94,$875K premium sweep at $567 calls with 53% ask aggression. Price at $566.38 below VWAP ($568.04). Negative gamma zone — moves will be amplified. Price action confirmed: Support Tag + Green Bounce at $566.08 (higher low — likely reversal).,hit,2164.52,wrong,
2026-03-27,13:08:06,UAL,algorithm,put,85.00,"April 17, 2026",639222.00,6.00,,90.15,Near $90.15 (no VWAP data),$88.35,Above $91.95,$639K premium flow at $85 puts with 100% ask aggression.,hit,142.78,correct,"FIXED Same issue. Price is at 90.15. Entry is incorrect, it should be around now as its at a major key level. Target is correct, invalidation should be like 90.78 (not under the entry) "
2026-03-27,13:20:10,HL,algorithm,call,18.00,"April 24, 2026",519350.00,6.00,,17.88,Near $17.88 (no VWAP data),$18.24,Below $17.52,$519K premium flow at $18 calls with 100% ask aggression.,hit,73.53,correct,"FIXED. Same issue. Price is at 17.88. Entry should be at VWAP, 17.74 Target is correct. Invalidation is correct. "
2026-03-27,13:29:40,IWM,algorithm,put,241.00,"April 6, 2026",570506.00,10.00,,243.78,Near $243.78 (no VWAP data),$238.90,Above $248.66,$571K premium flow at $241 puts with 97% ask aggression.,hit,104.30,correct,"Same issue. Price is at 243.78. Entry is below price at 241.  (SHOULD BE NOW) Invalidation is above price at 245, Should be around 243-244. "
2026-03-27,13:29:44,AAPL,whale,call,262.50,"April 17, 2026",1194996.00,8.00,,250.41,On bounce from VWAP ($253.39) — Near $250.41,$262.50,Below $245.40,$1.2M premium sweep at $262.5 calls with 100% ask aggression. Price at $251.95 below VWAP ($253.39).,missed,47.73,wrong,How is this a HIT? Price was at 251 and price is not 247 and its a call? 
2026-03-27,14:45:13,IWM,whale,put,240.00,"March 31, 2026",1557206.00,7.00,,243.72,At VWAP ($244.93) — Near $243.72,$240.00,Above $248.59,$1.6M premium sweep at $240 puts with 89% ask aggression. Price at $243.97 below VWAP ($244.93). Negative gamma zone — moves will be amplified.,hit,101.88,correct,
2026-03-27,14:45:14,BMNR,algorithm,put,16.00,"May 1, 2026",421100.00,6.00,,18.48,Near $18.48 (no VWAP data),$18.11,Above $18.85,$421K premium flow at $16 puts with 100% ask aggression.,partial_hit,54.05,correct,"Price is at $18.48, Entry is incorrect. Invalidation is Incorrect. Target is correct. Entry should be at time of price and invalidation should be above vwap at 18.59"
2026-03-27,15:09:53,SPY,algorithm,put,604.00,"April 17, 2026",669000.00,8.00,,634.72,Below VWAP ($638.83) — Near $634.72,$604.00,Above $647.41,$669K premium sweep at $604 puts with 100% ask aggression. Price at $634.67 below VWAP ($638.83).,missed,17.71,correct,
2026-03-27,15:15:56,SPY,algorithm,put,600.00,"April 17, 2026",309651.00,7.00,,635.41,Below VWAP ($638.75) — Near $635.41,$600.00,Above $648.12,$310K premium flow at $600 puts with 100% ask aggression. Price at $635.08 below VWAP ($638.75).,missed,17.31,correct,
2026-03-27,19:10:47,SPY,algorithm,put,677.00,"April 3, 2026",649428.00,6.00,,632.71,Below VWAP ($637.37) — Near $632.71,$620.06,Above $645.36,$649K premium flow at $677 puts with 52% ask aggression. Price at $632.80 below VWAP ($637.37).,missed,27.11,wrong,
2026-03-30,10:03:14,TSM,algorithm,call,320.00,"April 2, 2026",598141.00,6.00,moderate,319.37,On bounce from VWAP ($323.69) — Near $319.37,Strike at $320.00,Below $312.98,"$598K call flow at $320 strike with 99% ask aggression. Price at $319.37 below VWAP ($323.69). Negative gamma zone — moves will be amplified. Price action confirmed: Support Bounce + 2 Green Bars at $318.95 (higher low, higher high — confirmed).",hit,466.67,wrong,Got out. @ 3:16. Will check to see if entry is actually invalidation level of 3.12
2026-03-30,10:29:06,META,algorithm,call,540.00,"April 2, 2026",863718.00,6.00,moderate,531.86,At VWAP ($532.75) — Near $531.86,VWAP at $532.75,Below Pivot at $529.86,$864K call flow at $540 strike with 100% ask aggression. Price at $531.86 below VWAP ($532.75). Negative gamma zone — moves will be amplified.,hit,185.39,correct,Banger! 
2026-03-30,10:36:39,TSLA,algorithm,put,362.50,"April 3, 2026",415830.00,8.00,strong,362.03,Below VWAP ($363.96) — Near $362.03,PDL at $359.47,Above Pivot at $363.72,"$416K put flow at $362.5 strike with 100% ask aggression. Price at $362.03 below VWAP ($363.96). Negative gamma zone — moves will be amplified. Price action confirmed: SR Tag + 2 Red Bars at $363.72 (lower high, lower low — confirmed).",hit,144.14,correct,
2026-03-30,10:40:39,ASML,algorithm,put,1265.00,"April 3, 2026",347200.00,6.00,moderate,1264.28,Near $1264.28 (no VWAP data),$1238.99,Above $1289.57,$347K put flow at $1265 strike with 100% ask aggression. Price at $1264.28.,missed,83.71,correct,
2026-03-30,10:44:32,QQQ,algorithm,put,563.00,"April 3, 2026",584612.00,8.00,strong,561.80,At VWAP ($564.33) — Near $561.80,PDL at $561.57,Above Pivot at $565.06,"$585K put flow at $563 strike with 100% ask aggression. Price at $561.80 below VWAP ($564.33). Negative gamma zone — moves will be amplified. Price action confirmed: SR Tag + 2 Red Bars at $563 (lower high, lower low — confirmed).",hit,100.00,correct,
2026-03-30,10:44:33,COIN,algorithm,call,160.00,"April 2, 2026",462063.00,6.00,moderate,160.27,On bounce from VWAP ($162.85) — Near $160.27,VWAP at $162.85,Below PDL at $159.83,"$462K call flow at $160 strike with 100% ask aggression. Price at $160.27 below VWAP ($162.85). Negative gamma zone — moves will be amplified. Price action confirmed: Support Bounce + 2 Green Bars at $159.83 (higher low, higher high — confirmed).",hit,140.31,correct,
2026-03-30,10:44:33,BKNG,algorithm,put,4200.00,"April 3, 2026",578180.00,6.00,moderate,4108.87,At VWAP ($4094.56) — Near $4108.87,Pivot at $4099.04,Above R1 at $4167.79,$578K put flow at $4200 strike with 100% ask aggression. Price at $4108.87 above VWAP ($4094.56).,hit,131.33,correct,
2026-03-30,10:47:57,SMCI,algorithm,call,21.50,"April 2, 2026",677810.00,6.00,moderate,21.38,On bounce from VWAP ($21.74) — Near $21.38,Strike at $21.50,Below $20.95,"$678K call flow at $21.5 strike with 100% ask aggression. Price at $21.38 below VWAP ($21.74). Negative gamma zone — moves will be amplified. Price action confirmed: Support Bounce + 2 Green Bars at $21.44 (higher low, higher high — confirmed).",hit,166.67,correct,
